kladr_code;tpi;fo;fo_tpi
19000001;Абакан;Сибирский ФО;Сибирский ФО: Абакан
61000013;Азов;Южный ФО;Южный ФО: Азов
71002001;Алексин;Центральный ФО;Центральный ФО: Алексин
22000010;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22052000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22018001;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22031000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22000003;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22026000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22003000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22018000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22043000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22054000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22006000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22000000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22012000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22007000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22039000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22034000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22035000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22059000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22008000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22050000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22056000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22058000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22000002;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22032000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22017000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22024000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22045000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22023000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22029000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22025000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22020000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22030000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22044000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22051000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22010000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22042000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22016000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22022000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22004000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22061000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22028000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22005000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22053000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22021000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22019000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22038000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22027001;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22027000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22036000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22014000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22048000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22057000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22009000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22000012;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22049000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22033000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22040000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22047000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22037000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22060000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22032002;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22002000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22013000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22011000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22015001;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22055000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
22046000;Алтайский край - Прочие;Сибирский ФО;Сибирский ФО: Алтайский край - Прочие
16008001;Альметьевск;Приволжский ФО;Приволжский ФО: Альметьевск
27000003;Амурск;Дальневосточный ФО;Дальневосточный ФО: Амурск
28005001;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28000007;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28016000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28018000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28004000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28006000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28002000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28012000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28001000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28017000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28008000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28000000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28007000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28000006;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28000008;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28010000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28000002;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28009000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28003000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28013000;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28017001;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
28000004;Амурская область - Прочие;Дальневосточный ФО;Дальневосточный ФО: Амурская область - Прочие
